"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"PROPAFENONE HCL ER 325 MG CAP",64380018501,0.47583,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 325 MG CAP",64380018502,0.47583,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 325 MG CAP",64380018504,0.47583,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 325 MG CAP",68462040960,0.47583,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 325 MG CAP",69680013160,0.47583,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",00591228760,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",00832074260,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",16571073806,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",16714082701,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",59651027860,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",64380018601,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",64380018604,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPAFENONE HCL ER 425 MG CAP",68462041060,1.07212,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPARACAINE 0.5% EYE DROPS",24208073006,1.61280,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPARACAINE 0.5% EYE DROPS",61314001601,1.61280,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPARACAINE 0.5% EYE DROPS",70069060101,1.61280,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPARACAINE 0.5% EYE DROPS",70756019335,1.61280,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPECIA 1 MG TABLET",78206015202,3.57589,01/01/2026,EA,C/I,N,"2, 5",B,0.04227,04/22/2026,04/29/2026
"PROPECIA 1 MG TABLET",78206015201,3.98360,01/01/2026,EA,C/I,N,"2, 5",B,0.04227,04/22/2026,04/29/2026
"PROPOFOL 200 MG/20 ML VIAL",00409601025,0.17500,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPOFOL 200 MG/20 ML VIAL",25021060820,0.17500,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPOFOL 200 MG/20 ML VIAL",43598026525,0.17500,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00115165901,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00115165903,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00378018201,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00378018210,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00591555401,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PROPRANOLOL 10 MG TABLET",00591555410,0.05049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
