"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"12HR NASAL DECONGEST ER 120 MG",24385005452,0.28527,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"12HR NASAL DECONGEST ER 120 MG",70000065601,0.28527,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"24H NASAL ALLERGY 55 MCG SPRAY",46122038576,0.77203,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036201,0.20851,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036202,0.20851,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"3-DAY VAGINAL CREAM",51672206200,0.30381,04/22/2026,GM,C/I,Y,"1, 5, 6",G,,,04/29/2026
"8 HOUR ACETAMINOPHEN ER 650 MG",46122006271,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",00904756160,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",46122062978,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR ARTHRITIS PAIN ER 650 MG",70000073301,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"8HR MUSCLE ACHE-PAIN ER 650 MG",70000073401,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00378410591,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00904687404,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",00904687406,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",31722055760,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",50268004911,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",50268004912,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",51079020401,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",51079020406,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",64380071703,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",65862007360,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",68084002111,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",68084002121,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR 300 MG TABLET",69097051403,0.65861,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",42385096230,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",65862033530,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABACAVIR-LAMIVUDINE 600-300 MG",69097036202,1.32059,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE 1 MG-0.5 MG TABLET",70700033084,0.66719,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE 1 MG-0.5 MG TABLET",70700033085,0.66719,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE LO 0.5-0.1 MG TABLET",70700030384,0.67783,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIGALE LO 0.5-0.1 MG TABLET",70700030385,0.67783,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABILIFY 10 MG TABLET",59148000813,18.58017,04/22/2026,EA,C/I,N,1,B,0.10076,04/22/2026,04/29/2026
"ABILIFY 15 MG TABLET",59148000913,18.57826,04/22/2026,EA,C/I,N,1,B,0.13412,04/22/2026,04/29/2026
"ABILIFY 2 MG TABLET",59148000613,18.64731,04/22/2026,EA,C/I,N,1,B,0.11223,04/22/2026,04/29/2026
"ABILIFY 20 MG TABLET",59148001013,26.30228,04/22/2026,EA,C/I,N,1,B,0.17419,04/22/2026,04/29/2026
"ABILIFY 30 MG TABLET",59148001113,26.19595,04/22/2026,EA,C/I,N,1,B,0.17359,04/22/2026,04/29/2026
"ABILIFY 5 MG TABLET",59148000713,18.66945,04/22/2026,EA,C/I,N,1,B,0.09968,04/22/2026,04/29/2026
"ABILIFY ASIMTUFII 720 MG/2.4 ML",59148010280,1775.69935,01/01/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"ABILIFY ASIMTUFII 960 MG/3.2 ML",59148011480,1782.43002,01/01/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG SYR",59148004580,2142.74797,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148001870,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148001871,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 300 MG VL",59148023212,2139.41285,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG SYR",59148007280,2859.97401,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148001970,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148001971,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABILIFY MAINTENA ER 400 MG VL",59148024512,2855.87745,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00143959721,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00378692078,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",00904694804,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",16714096301,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",43598035804,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60219116507,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60505432701,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60687079011,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",60687079021,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",64980041812,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",68001048907,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",68462013508,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",69238116507,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",71921017820,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72205003092,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72205028492,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",72603011001,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",75907022404,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82009013912,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82249001012,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 250 MG TAB",82293000110,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",00378692191,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",43598046860,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",60219175406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",60505476406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",68001067306,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",68462088260,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",69238175406,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",71921017706,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",72205028560,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",72603011101,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",82009014060,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRATERONE ACETATE 500 MG TAB",82293000210,3.25461,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABIRTEGA 250 MG TABLET",82249001112,0.84301,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ABSORICA 20 MG CAPSULE",10631011631,35.34887,04/22/2026,EA,C/I,N,1,B,7.17391,04/22/2026,04/29/2026
"ABSORICA 20 MG CAPSULE",10631011669,35.34887,04/22/2026,EA,C/I,N,1,B,7.17391,04/22/2026,04/29/2026
"ABSORICA 30 MG CAPSULE",10631011731,37.79646,04/22/2026,EA,C/I,N,1,B,4.82814,04/22/2026,04/29/2026
"ABSORICA 30 MG CAPSULE",10631011769,37.79646,04/22/2026,EA,C/I,N,1,B,4.82814,04/22/2026,04/29/2026
"ABSORICA 40 MG CAPSULE",10631011831,37.74352,04/22/2026,EA,C/I,N,1,B,5.92641,04/22/2026,04/29/2026
"ABSORICA 40 MG CAPSULE",10631011869,37.74352,04/22/2026,EA,C/I,N,1,B,5.92641,04/22/2026,04/29/2026
"ABSORICA LD 16 MG CAPSULE",10631000331,38.41060,12/17/2025,EA,C/I,N,4,B,,,04/29/2026
"ABSORICA LD 24 MG CAPSULE",10631000531,41.88550,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"ABSORICA LD 32 MG CAPSULE",10631000731,42.01495,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",00378633380,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",00904721304,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",60687012125,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",60687012195,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",68382056928,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",68462043518,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACAMPROSATE CALC DR 333 MG TAB",69452035325,0.59520,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",00054014225,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",23155014901,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",62135045590,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",64380076006,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",69543012210,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 100 MG TABLET",69543012211,0.23081,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",00054014025,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",23155014701,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",62135045390,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",64380075806,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",69543012010,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 25 MG TABLET",69543012011,0.15390,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",00054014125,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",23155014801,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",62135045490,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",64380075906,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",69543012110,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACARBOSE 50 MG TABLET",69543012111,0.16536,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACCRUFER 30 MG CAPSULE",73059000160,9.91784,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"ACEBUTOLOL 200 MG CAPSULE",50268005011,0.53884,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACEBUTOLOL 200 MG CAPSULE",50268005015,0.53884,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACEBUTOLOL 200 MG CAPSULE",53746066901,0.53884,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACEBUTOLOL 200 MG CAPSULE",62559025501,0.53884,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACEBUTOLOL 400 MG CAPSULE",53746067001,0.87159,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACEBUTOLOL 400 MG CAPSULE",62559025601,0.87159,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN 1,000 MG/30 ML",00904748159,0.01927,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 120 MG SUPPOS",45802073200,0.23200,03/18/2026,EA,C/I,Y,4,G,,,04/29/2026
"ACETAMINOPHEN 120 MG SUPPOS",45802073230,0.23200,03/18/2026,EA,C/I,Y,4,G,,,04/29/2026
"ACETAMINOPHEN 120 MG SUPPOS",45802073233,0.23200,03/18/2026,EA,C/I,Y,4,G,,,04/29/2026
"ACETAMINOPHEN 160 MG/5 ML LIQ",54859080916,0.01284,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 160 MG/5 ML LIQ",69367032316,0.01284,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 160 MG/5 ML LIQ",69367032304,0.02681,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 160 MG/5 ML SOLN",57237030416,0.01284,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 160 MG/5 ML SOLN",57237030412,0.02681,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 325 MG GELCAP",46122043078,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",00536132701,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",00536132706,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",00536132710,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",00904677361,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",49483034001,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",49483034010,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",57237034601,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",57237034610,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",68599467909,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",82568000101,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",82568000102,0.02600,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 325 MG TABLET",82568000103,0.02600,04/29/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00536141347,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00536141348,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672024,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672040,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672051,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672059,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672060,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",00904672080,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",57237034705,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70000037301,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70000037302,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70000037305,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70010016101,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70010016105,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG CAPLET",70010016110,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG GELCAP",00536129229,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG GELCAP",70000031201,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG GELCAP",70000031202,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",00536117201,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",00904673059,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",00904673060,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",00904673061,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",00904673080,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",49483034101,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",49483034110,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",49483034150,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",68599468103,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",70000003601,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",70000041001,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",70000041002,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",70000070901,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",82568000201,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG TABLET",82568000202,0.03426,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 500 MG/15 ML LIQ",00904753259,0.01927,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"ACETAMINOPHEN 650 MG SUPPOS",45802073000,0.34718,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 650 MG SUPPOS",45802073030,0.34718,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 650 MG SUPPOS",45802073032,0.34718,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN 650 MG SUPPOS",45802073033,0.34718,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG CAPLET",00904731427,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG CAPLET",00904731460,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG CAPLET",49483069901,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG CAPLET",70010016001,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG TABLET",60687092411,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG TABLET",60687092421,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN ER 650 MG TABLET",68001049500,0.06444,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN PM CAPLET",00904673151,0.04477,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN PM CAPLET",70000041101,0.04477,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN PM CAPLET",70000041102,0.04477,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN PM CAPLET",70000041103,0.04477,04/22/2026,EA,C/I,Y,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",00406048301,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",13107005801,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",64380044801,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",64850064101,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",71930005412,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #2 TABLET",71930005452,0.27414,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",00406048401,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",00406048403,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",00406048410,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",00406048423,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",00406048462,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",13107005901,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",13107005999,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",64380044601,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",64380044603,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",64850064201,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",65162003310,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",71930005512,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #3 TABLET",71930005552,0.20903,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",00406048501,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",00406048505,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",13107006001,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",13107006005,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",13107006099,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",64380044701,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",64380044702,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",64850064301,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",64850064305,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"ACETAMINOPHEN-COD #4 TABLET",71930005612,0.39105,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
